Word	IPA
internal	əntərnəl
internet	əntərnət
introduction	əntrədəctəən
investment	ənvəstmənt
invitation	ənvətətəən
island	əslənd
jacket	jəckət
judgment	jədgmənt
juice	jəəcə
kitchen	kətchən
knowledge	knəwlədgə
landscape	ləndscəpə
language	ləngəəgə
laughter	ləəghtər
lawyer	ləwyər
leader	ləədər
learning	ləərnəng
lecture	ləctərə
legislation	ləgəslətəən
library	ləbrəry
limit	ləmət
literature	lətərətərə
location	ləcətəən
luck	ləck
lunch	lənch
machine	məchənə
magazine	məgəzənə
maintenance	məəntənəncə
manager	mənəgər
manner	mənnər
manufacturer	mənəfəctərər
market	mərkət
marriage	mərrəəgə
material	mətərəəl
meaning	məənəng
measurement	məəsərəmənt
medicine	mədəcənə
memory	məməry
mention	məntəən
message	məssəgə
method	məthəd
midnight	mədnəght
migration	məgrətəən
military	mələtəry
miner	mənər
ministry	mənəstry
mistake	məstəkə
mixture	məxtərə
mobile	məbələ
moment	məmənt
monitor	mənətər
month	mənth
mood	məəd
morning	mərnəng
motion	mətəən
mountain	məəntəən
movement	məvəmənt
movie	məvəə
muscle	məsclə
museum	məsəəm
music	məsəc
nation	nətəən
nature	nətərə
negotiation	nəgətəətəən
neighbor	nəəghbər
nephew	nəphəw
network	nətwərk
newspaper	nəwspəpər
nightmare	nəghtmərə
noise	nəəsə
notebook	nətəbəək
notice	nətəcə
novel	nəvəl
nurse	nərsə
object	əbjəct
observation	əbsərvətəən
occasion	əccəsəən
offense	əffənsə
offering	əffərəng
office	əffəcə
operation	əpərətəən
opinion	əpənəən
opportunity	əppərtənəty
opponent	əppənənt
option	əptəən
orange	ərəngə
order	ərdər
organization	ərgənəzətəən
outcome	əətcəmə
outlet	əətlət
owner	əwnər
package	pəckəgə
painting	pəəntəng
panel	pənəl
paper	pəpər
paragraph	pərəgrəph
parking	pərkəng
partnership	pərtnərshəp
passage	pəssəgə
passenger	pəssəngər
passion	pəssəən
patience	pətəəncə
pattern	pəttərn
payment	pəymənt
peace	pəəcə
penalty	pənəlty
percentage	pərcəntəgə
perception	pərcəptəən
performance	pərfərməncə
permission	pərməssəən
personality	pərsənələty
perspective	pərspəctəvə
phone	phənə
photograph	phətəgrəph
piano	pəənə
picture	pəctərə
piece	pəəcə
pillow	pəlləw
place	pləcə
planning	plənnəng
plant	plənt
platform	plətfərm
player	pləyər
pleasure	pləəsərə
plenty	plənty
poet	pəət
police	pələcə
policy	pələcy
pollution	pəllətəən
population	pəpələtəən
position	pəsətəən
possibility	pəssəbələty
postcard	pəstcərd
potential	pətəntəəl
practice	prəctəcə
preference	prəfərəncə
preparation	prəpərətəən
presence	prəsəncə
presentation	prəsəntətəən
president	prəsədənt
pressure	prəssərə
price	prəcə
priority	prəərəty
prison	prəsən
privacy	prəvəcy
problem	prəbləm
procedure	prəcədərə
process	prəcəss
product	prədəct
profession	prəfəssəən
professor	prəfəssər
profile	prəfələ
progress	prəgrəss
project	prəjəct
promise	prəməsə
promotion	prəmətəən
proof	prəəf
proposal	prəpəsəl
protection	prətəctəən
protein	prətəən
provision	prəvəsəən
psychology	psychələgy
publication	pəbləcətəən
punishment	pənəshmənt
purpose	pərpəsə
quantity	qəəntəty
quarter	qəərtər
question	qəəstəən
reaction	rəəctəən
reality	rəələty
reason	rəəsən
reception	rəcəptəən
recommendation	rəcəmməndətəən
record	rəcərd
recovery	rəcəvəry
reduction	rədəctəən
reference	rəfərəncə
reflection	rəfləctəən
refugee	rəfəgəə
region	rəgəən
regret	rəgrət
relationship	rələtəənshəp
relief	rələəf
remark	rəmərk
report	rəpərt
request	rəqəəst
requirement	rəqəərəmənt
research	rəsəərch
resource	rəsəərcə
response	rəspənsə
responsibility	rəspənsəbələty
restaurant	rəstəərənt
result	rəsəlt
revenue	rəvənəə
revolution	rəvələtəən
reward	rəwərd
rhythm	rhythm
risk	rəsk
river	rəvər
roadway	rəədwəy
robot	rəbət
role	rələ
roommate	rəəmmətə
routine	rəətənə
safety	səfəty
salary	sələry
sale	sələ
sample	səmplə
sanction	sənctəən
satisfaction	sətəsfəctəən
savings	səvəngs
schedule	schədələ
school	schəəl
science	scəəncə
screen	scrəən
search	səərch
season	səəsən
secretary	səcrətəry
section	səctəən
security	səcərəty
selection	sələctəən
sense	sənsə
sentence	səntəncə
sequence	səqəəncə
series	sərəəs
service	sərvəcə
session	səssəən
setting	səttəng
shadow	shədəw
shareholder	shərəhəldər
shelter	shəltər
shipment	shəpmənt
shopping	shəppəng
shortage	shərtəgə
shoulder	shəəldər
signature	səgnətərə
silence	sələncə
singer	səngər
situation	sətəətəən
skill	skəll
society	səcəəty
software	səftwərə
solution	sələtəən
somebody	səməbədy
speech	spəəch
speed	spəəd
spending	spəndəng
spirit	spərət
statement	stətəmənt
statistics	stətəstəcs
status	stətəs
storage	stərəgə
story	stəry
strength	strəngth
struggle	strəgglə
student	stədənt
studio	stədəə
style	stylə
subject	səbjəct
substance	səbstəncə
success	səccəss
suggestion	səggəstəən
supermarket	səpərmərkət
support	səppərt
surprise	sərprəsə
surgery	sərgəry
survival	sərvəvəl
sympathy	sympəthy
system	systəm
table	təblə
talent	tələnt
target	tərgət
teacher	təəchər
technology	təchnələgy
temperature	təmpərətərə
temporary	təmpərəry
tension	tənsəən
theory	thəəry
therapy	thərəpy
ticket	təckət
tobacco	təbəccə
tolerance	tələrəncə
tomorrow	təmərrəw
tourist	təərəst
tragedy	trəgədy
training	trəənəng
transaction	trənsəctəən
translation	trənslətəən
transportation	trənspərtətəən
travel	trəvəl
treatment	trəətmənt
tunnel	tənnəl
uncle	ənclə
unemployment	ənəmpləymənt
uniform	ənəfərm
universe	ənəvərsə
university	ənəvərsəty
vacation	vəcətəən
vehicle	vəhəclə
version	vərsəən
victim	vəctəm
victory	vəctəry
village	vəlləgə
violation	vəələtəən
visitor	vəsətər
volunteer	vələntəər
voting	vətəng
wage	wəgə
warning	wərnəng
waste	wəstə
weakness	wəəknəss
wealth	wəəlth
weather	wəəthər
wedding	wəddəng
weekend	wəəkənd
weight	wəəght
welcome	wəlcəmə
welfare	wəlfərə
whisper	whəspər
window	wəndəw
winner	wənnər
wisdom	wəsdəm
worker	wərkər
workplace	wərkpləcə
writer	wrətər
